acctid,repid,repname,name,acctname,value,model,profile,opened,e-mail,phone,dob,1mo,1yr,3yr,ytd,inception
926917074,AR4K,ABC FINANCIAL,TOM WILSON,IRA,14874.11,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,320 385 0325,5/15/1971,1.10%,2.30%,6.50%,4.10%,4.10%
929900943,AR4K,ABC FINANCIAL,TOM WILSON,IRA,175268.48,Moderate Portfolio,Balanced,10/24/2017,client@gmail.com,324 385 0325,6/5/1965,3.20%,17.70%,19.60%,51.10%,51.10%
929900996,AR4K,ABC FINANCIAL,TOM WILSON,IRA,231584.49,Moderate Portfolio,Balanced,10/24/2017,client@gmail.com,359 385 0325,3/25/1963,3.80%,18.00%,13.10%,21.10%,21.10%
929901023,AR4K,ABC FINANCIAL,LARRY LEAHY,IRA,261267.34,Moderate Portfolio,Balanced,10/24/2017,client@gmail.com,364 385 0325,9/5/1963,0.70%,35.60%,31.00%,21.10%,21.10%
931000983,AR4K,ABC FINANCIAL,LARRY LEAHY,IRA,428655.79,Moderate Portfolio,Balanced,10/27/2017,client@gmail.com,369 385 0325,3/5/1977,2.10%,-12.50%,12.60%,6.60%,6.60%
931004938,AR4K,ABC FINANCIAL,LARRY LEAHY,IRA,2099259.08,Moderate Portfolio,Balanced,10/24/2017,client@gmail.com,326 385 0325,8/27/1935,3.70%,25.10%,22.00%,-2.30%,-2.30%
931004946,AR4K,ABC FINANCIAL,LARRY LEAHY,IRA,1058017.23,Moderate Portfolio,Balanced,10/24/2017,client@gmail.com,325 385 0325,6/5/1965,0.00%,0.00%,-0.90%,-2.50%,-2.50%
931918531,AR4K,ABC FINANCIAL,ELI MANNING,IRA,23000.46,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,371 385 0325,5/12/1955,0.00%,0.00%,0.00%,45.30%,45.30%
931918533,AR4K,ABC FINANCIAL,ELI MANNING,IRA,20274.19,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,334 385 0325,4/28/1955,3.30%,19.10%,15.70%,9.10%,9.10%
936022865,AR4K,ABC FINANCIAL,ELI MANNING,IRA,1109658.86,Moderate Portfolio,Balanced,10/24/2017,client@gmail.com,360 385 0325,3/25/1963,0.30%,15.00%,22.80%,16.60%,16.60%
936022867,AR4K,ABC FINANCIAL,ELI MANNING,IRA,629704.08,Moderate Portfolio,Balanced,10/24/2017,client@gmail.com,361 385 0325,3/25/1963,0.00%,28.00%,36.30%,21.10%,21.10%
936947477,AR4K,ABC FINANCIAL,PAUL LENNON,IRA,29745.67,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,353 385 0325,1/15/1969,0.00%,26.30%,35.50%,21.10%,21.10%
937050867,AR4K,ABC FINANCIAL,PAUL LENNON,Taxable,401974.24,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,330 385 0325,1/12/2002,4.90%,12.60%,13.30%,-3.40%,-3.40%
938006525,AR4K,ABC FINANCIAL,PAUL LENNON,Taxable,401669.37,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,328 385 0325,1/12/2002,2.00%,12.50%,8.10%,5.00%,5.00%
939153752,AR4K,ABC FINANCIAL,ROGER STARR,Taxable,53295.8,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,323 385 0325,6/16/1969,0.00%,0.00%,227.50%,-3.40%,-3.40%
939937450,AR4K,ABC FINANCIAL,ROGER STARR,Taxable,280961.99,Moderate Portfolio,Balanced,2/6/2018,client@gmail.com,355 385 0325,12/11/1973,0.00%,0.00%,0.00%,2.50%,2.50%
942561805,AR4K,ABC FINANCIAL,ROGER STARR,Taxable,15515.73,Moderate Portfolio,Balanced,11/5/2018,client@gmail.com,316 385 0325,7/28/1979,2.50%,14.40%,8.10%,7.30%,7.30%
942611945,AR4K,ABC FINANCIAL,ANDREA MITCHELL,Taxable,45653.64,Moderate Portfolio,Balanced,11/26/2018,client@gmail.com,336 385 0325,1/15/1969,0.00%,0.00%,0.00%,-3.10%,-3.10%
943569387,AR4K,ABC FINANCIAL,ANDREA MITCHELL,Taxable,721.73,Moderate Portfolio,Balanced,10/17/2019,client@gmail.com,329 385 0325,1/12/2002,0.00%,0.00%,31.70%,19.60%,19.60%
943569392,AR4K,ABC FINANCIAL,DAVID ORTIZ,Taxable,1870.54,Moderate Portfolio,Balanced,10/17/2019,client@gmail.com,331 385 0325,1/12/2002,0.00%,0.00%,0.00%,19.60%,19.60%
943569397,AR4K,ABC FINANCIAL,DAVID ORTIZ,Taxable,173938.24,Moderate Portfolio,Balanced,11/4/2019,client@gmail.com,327 385 0325,8/27/1935,0.00%,0.00%,0.00%,21.30%,21.30%
943866415,AR4K,ABC FINANCIAL,DAVID ORTIZ,Taxable,453.61,Moderate Portfolio,Balanced,2/7/2020,client@gmail.com,321 385 0325,2/21/1998,0.60%,-3.80%,3.50%,1.60%,1.60%
944336420,AR4K,ABC FINANCIAL,BEN HARRIS,Taxable,1321909.51,Moderate Portfolio,Balanced,5/28/2020,client@gmail.com,366 385 0325,1/26/1971,0.00%,0.00%,0.00%,21.30%,21.30%
944336422,AR4K,ABC FINANCIAL,HARRIS LARSON,Taxable,18161.31,Moderate Portfolio,Balanced,5/27/2020,client@gmail.com,367 385 0325,1/26/1971,2.60%,4.10%,2.80%,2.00%,2.00%
944336426,AR4K,ABC FINANCIAL,BECKY GOLDBERG,Taxable,3140.33,Moderate Portfolio,Balanced,5/28/2020,client@gmail.com,368 385 0325,3/22/2002,2.10%,13.20%,8.80%,7.00%,7.00%
944931330,AR4K,ABC FINANCIAL,BECKY GOLDBERG,Taxable,1104473.02,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,372 385 0325,5/12/1955,-10.80%,-12.20%,-2.50%,-7.50%,-7.50%
944955520,AR4K,ABC FINANCIAL,BECKY GOLDBERG,Taxable,142795.59,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,335 385 0325,4/25/1955,0.80%,17.30%,5.40%,4.40%,4.40%
945914460,AR4K,ABC FINANCIAL,FRED ORR,Taxable,454100.77,Moderate Portfolio,Balanced,10/24/2017,client@gmail.com,362 385 0325,3/25/1963,2.10%,13.50%,8.80%,5.10%,5.10%
962956030,AR4K,ABC FINANCIAL,MARIA MARSH,Taxable,10056.23,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,347 385 0325,12/21/1964,3.10%,28.00%,27.40%,21.30%,21.30%
962964430,AR4K,ABC FINANCIAL,MARIA MARSH,Taxable,32562.39,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,348 385 0325,12/21/1964,2.70%,18.60%,6.00%,21.30%,21.30%
962964450,AR4K,ABC FINANCIAL,NEAL WILLIAMS,Taxable,251872.26,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,350 385 0325,8/21/1966,0.00%,0.00%,17.30%,7.60%,7.60%
962964460,AR4K,ABC FINANCIAL,NEAL WILLIAMS,Taxable,135274.1,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,351 385 0325,8/21/1966,0.00%,0.00%,17.30%,7.60%,7.60%
962964480,AR4K,ABC FINANCIAL,NEAL WILLIAMS,Taxable,24124.61,Moderate Portfolio,Balanced,10/19/2017,client@gmail.com,352 385 0325,8/21/1966,0.00%,0.00%,17.30%,7.60%,7.60%
